Ourmodel,Hypothesis,Predictions
और येहै मनुष,और येहै मनुष,और ये है मनुष
और,और,और
अच्छा आपने जिमी कंद की खेती किसी को देख कर के स्टार्ट की थी या कहीं से प्रशिक्षण आपको प्राप्त हुआ था,अच्छा आपने जिमी कंद की खेती किसी को देख कर के स्टार्ट की थी या कहीं से प्रशिक्षण आपको प्राप्त हुआ था,अच्छा आपने जिमी कंद की खेती किसी को देखकर के स्टार्ट की थी या कहीं से प्रशिक्षण आपको प्राप्त हुआ था
ये जो गजंद्रा प्रजात का जीमीकंद है,ये जो गजंद्रा प्रजात का जीमीकंद है,ये जो गजंद्रा प्रजात का जीमीकंद है
तो बीज को उपचारित कैसे करेंगे,तो बीज को उपचारित कैसे करेंगे,तो बीज को उपचारित कैसे करेंगे
,,
जो है,जो है,जो है
अच्ा अच्छा भई आप गाय खेत में जे बताक में बनने की पत्ती का बोध खेत में डाल दीजिए और सुबह देखिे जागर उसमें नी कहां से दी औरइ हवा में पैसठ पर्सेट नमी है त यानी आज छादनजोमलचिं है,अच्ा अच्छा भई आप गाय खेत में जे बताक में बनने की पत्ती का बोध खेत में डाल दीजिए और सुबह देखिे जागर उसमें नी कहां से दी औरइ हवा में पैसठ पर्सेट नमी है त यानी आज छादनजोमलचिं है,अच्छा अच्छा भई आप गाय खेत में जे बताक में बनने की पत्ती का बोध खेत में डाल दीजिये और सुबह देखिये जागर उसमें नई कहां से दी और इस हवा में पैंसठ पर्सेट नमी है तथा यानि आज छादन जो मल्ची है
आपने बो दिया उसमें एक कल्ला निकला फिर उस कल्ले को जिसने तोड़ दिया ा,आपने बो दिया उसमें एक कल्ला निकला फिर उस कल्ले को जिसने तोड़ दिया ा,आपने बो दिया उसमें एक कल्ला निकला फिर उस कल्ले को जिसने तोड़ दिया
किसान भाई और नमस्कार,किसान भाई और नमस्कार,किसान भाई और नमस्कार
भारतीय संस्कृति में,भारतीय संस्कृति में,भारतीय संस्कृति में
हम सभी लोग गाय को मां का दर्जा देते आए,हम सभी लोग गाय को मां का दर्जा देते आए,हम सभी लोग गाय को मां का दर्जा देते आए
आज वो भी बड़ेबड़े शहरों में रोजी रोटी के लिए भटक रहे बहुत सारे किसान,आज वो भी बड़ेबड़े शहरों में रोजी रोटी के लिए भटक रहे बहुत सारे किसान,आज वो भी बड़ेबड़े शहरों में रोजीरोटी के लिए भटक रहे बहुत सारे किसान
बढ़ाने की बात करती है कि किसानों की आय को कैसे दो गुना किया जाए,बढ़ाने की बात करती है कि किसानों की आय को कैसे दो गुना किया जाए,बढ़ाने की बात करती है कि किसानों की आय को कैसे दो गुना किया जाए
उनका नाम भी आपने सुना होगा जो जीरो बजट खेती की बात कहते हैं और गवाधारित खेती की बात करते हैं कि,उनका नाम भी आपने सुना होगा जो जीरो बजट खेती की बात कहते हैं और गवाधारित खेती की बात करते हैं कि,उनका नाम भी आपने सुना होगा जो जीरो बजट खेती की बात कहते हैं और गवाधारित खेती की बात करते हैं कि
वो आम व्यक्ति,वो आम व्यक्ति,वो आम व्यक्ति है
वीडियो में मैंने पहले बताया था कि आज इस देश का,वीडियो में मैंने पहले बताया था कि आज इस देश का,वीडियो में मैंने पहले बताया था कि आज इस देश का
किसान के बेटे हैं,किसान के बेटे हैं,किसान के बेटे हैं
वो एक जोड़ी बैल रखता था,वो एक जोड़ी बैल रखता था,वो एक जोड़ी बैल रखता था
अपने उसके निजी बैल थे और जोकि तीन एकड़ जमीन थी तो वो किसान अपनी खेती स्वयं कर लेता था यानि बैलों से खेतों की जुताई बुआई का काम सरा स्वयं कर लेता था,अपने उसके निजी बैल थे और जोकि तीन एकड़ जमीन थी तो वो किसान अपनी खेती स्वयं कर लेता था यानि बैलों से खेतों की जुताई बुआई का काम सरा स्वयं कर लेता था,अपने उसके निजी बैल थे और जो कि तीन एकड़ जमीन थी तो वो किसान अपनी खेती स्वयं कर लेता था यानि बैलों से खेतों की जुताईबुआई का काम सरा स्वयं कर लेता था
जिसकी कोई रोजी रोटी नहीं थी,जिसकी कोई रोजी रोटी नहीं थी,जिसकी कोई रोजी रोटी नहीं थी
बड़े किसान का खेद जोतना फसलों की बुआई करना फसलों की निकाई गुलाई करना,बड़े किसान का खेद जोतना फसलों की बुआई करना फसलों की निकाई गुलाई करना,बड़े किसान का खेद जोतना फसलों की बुआई करना फसलों की निकाई गुलाई करना
तो गांव में कहीं भी किसी को खाने की समस्या नहीं थी,तो गांव में कहीं भी किसी को खाने की समस्या नहीं थी,तो गांव में कहीं भी किसी को खाने की समस्या नहीं थी
और उसने अपनी खेती टरैक्टर से प्रारंभ की गांव के दस लोगों की और खेती टैक्टर से प्रारंभ हो गई,और उसने अपनी खेती टरैक्टर से प्रारंभ की गांव के दस लोगों की और खेती टैक्टर से प्रारंभ हो गई,और उसने अपनी खेती टैक्टर से प्रारंभ की गांव के दस लोगों की और खेती टैक्टर से प्रारंभ हो गई
आज की तारीख में हरगांव में दस परसेंट लोगों के पास टेक्टर है,आज की तारीख में हरगांव में दस परसेंट लोगों के पास टेक्टर है,आज की तारीख में हरगांव में दस परसेंट लोगों के पास टेक्टर है
एक हिंदुस्तान के जो ग्रामीण सेक्टर का जो टैक्टर का जो आंकड़ा है वो लगभग लगभग नौ दस परसेंट लोों के पास सआत टैक्टर है नब्बे परसेंट लोगों के पास टरैक्टर बिल्कुल नहीं है और उनके पास बैल भी नहीं है,एक हिंदुस्तान के जो ग्रामीण सेक्टर का जो टैक्टर का जो आंकड़ा है वो लगभग लगभग नौ दस परसेंट लोों के पास सआत टैक्टर है नब्बे परसेंट लोगों के पास टरैक्टर बिल्कुल नहीं है और उनके पास बैल भी नहीं है,एक हिन्दुस्तान के जो ग्रामीण सेक्टर का जो टैक्टर का जो आंकड़ा है वो लगभग लगभग नौ दस परसेंटलों के पास सात टैक्टर है नब्बे परसेंट लोगों के पास टैक्टर बिल्कुल नहीं है और उनके पास बैल भी नहीं है
पिछले पच्चीस साल का डाटा उठा लीजिए,पिछले पच्चीस साल का डाटा उठा लीजिए,पिछले पच्चीस साल का डाटा उठा लीजिए
जिनके पास ट्ैक्टर है उन किसानों ने भी आत्महत्या नहीं की,जिनके पास ट्ैक्टर है उन किसानों ने भी आत्महत्या नहीं की,जिनके पास टैक्टर है उन किसानों ने भी आत्महत्या नहीं की
बहुत बड़ा स्तंभ है,बहुत बड़ा स्तंभ है,बहुत बड़ा स्तंभ है
ईश्वर हमको भी छोड़ देगा,ईश्वर हमको भी छोड़ देगा,ईश्वर हम को भी छोड़ देगा
पूरे,पूरे,पूरे
उत्पादन बढ़ाने से आय घटती है बढ़ती नहीं है,उत्पादन बढ़ाने से आय घटती है बढ़ती नहीं है,उत्पादन बढ़ाने से आय घटती है बढ़ती नहीं है
क्योंकि इन फसलों की अंतर्गत एरिया बहुत ज्यादा है उत्पादन बहुत ज्यादा है,क्योंकि इन फसलों की अंतर्गत एरिया बहुत ज्यादा है उत्पादन बहुत ज्यादा है,क्योंकि इन फसलों की अंतर्गत एरिया बहुत ज्यादा है उत्पादन बहुत ज्यादा है
का संरक्षण करके,का संरक्षण करके,का संरक्षण करके
बैल बना लेते थे और खेती की जुताई का काम करते थे,बैल बना लेते थे और खेती की जुताई का काम करते थे,बैल बना लेते थे और खेती की जुताई का काम करते थे
आज चूकि हम बैल से खेती नहीं करते इसलिए गाय के जो नर हैं,आज चूकि हम बैल से खेती नहीं करते इसलिए गाय के जो नर हैं,आज चूकि हम बैल से खेती नहीं करते इसलिए गाय के जो नर हैं
जो मेल हैं,जो मेल हैं,जो मेल हैं
हम मादा को या नर को खत्म करेंगे,हम मादा को या नर को खत्म करेंगे,हम मादा को या नर को खत्म करेंगे
और पशुओं के मलमूत्र से गोबर मिलता था और गोबर सड़ता था और वो खेतों में उपयोग होता था,और पशुओं के मलमूत्र से गोबर मिलता था और गोबर सड़ता था और वो खेतों में उपयोग होता था,और पशुओं के मलमूत्र से गोबर मिलता था और गोबर सड़ता था और वो खेतों में उपयोग होता था
कई लोग ये दलील देते हैं,कई लोग ये दलील देते हैं,कई लोग ये दलील देते हैं
मुझे बड़ी हसी आती,मुझे बड़ी हसी आती,मुझे बड़ी हसी आती
किसान बहुत कम ह आबादी बहत कम है हमारे देश में तो देखिए दो चीजें है जो गांव के बीस परसेंट भूमिहीन परिवार,किसान बहुत कम ह आबादी बहत कम है हमारे देश में तो देखिए दो चीजें है जो गांव के बीस परसेंट भूमिहीन परिवार,किसान बहुत कम आबादी बहतकम है हमारे देश में तो देखिए दो चीजें है जो गांव के बीस परसेंट भूमिहीन परिवार
इस देश में पिछले पच्चीस सालों में एक भी डाटा नहीं है कि जिस किसान के पास बैल से खेती कर्ता और उसने आत्महत्या की और जो आत्महत्या करने वाले लोग हैं,इस देश में पिछले पच्चीस सालों में एक भी डाटा नहीं है कि जिस किसान के पास बैल से खेती कर्ता और उसने आत्महत्या की और जो आत्महत्या करने वाले लोग हैं,इस देश में पिछले पच्चीस सालों में एक भी डाटा नहीं है कि जिस किसान के पास बैल से खेतीकर्ता और उसने आत्महत्या की और जो आत्महत्या करने वाले लोग हैं
किराई के ट्रैक्टर से खेती कराता है,किराई के ट्रैक्टर से खेती कराता है,किराई के ट्रैक्टर से खेती कराता है
फसलों में इंसेक्ट का कारण है,फसलों में इंसेक्ट का कारण है,फसलों में इंसेक्ट का कारण एक हज़ार नौ सौ पचास है
पक्षियों का नष्ट हो जाना,पक्षियों का नष्ट हो जाना,पक्षियों का नष्ट हो जाना है
किसान से थोड़ी सी भी हम दर्दी है,किसान से थोड़ी सी भी हम दर्दी है,किसान से थोड़ी सी भी हम दर्दी है
वो इन विषयों पर थोड़ा ्आत्मसाथ करें आत्मचिंतन करें,वो इन विषयों पर थोड़ा ्आत्मसाथ करें आत्मचिंतन करें,वो इन विषयों पर थोड़ा आत्मसाथ करें आत्मचिंतन करें
विषय वहां तक जाता है,विषय वहां तक जाता है,विषय वहां तक जाता है
जो परंपरागत खेती है जिसको आप प्रमोट करना चाहते हैं,जो परंपरागत खेती है जिसको आप प्रमोट करना चाहते हैं,जो परंपरागत खेती है जिसको आप प्रमोट करना चाहते हैं
तो दो चीजों को सुनिश्चित करना पड़ेगा कि मैकेनाइज पर माैकेनाइज खेती पर कोई अनुदान नहीं रसायनिक उर्बरकों पर कोई अनुदान नहीं,तो दो चीजों को सुनिश्चित करना पड़ेगा कि मैकेनाइज पर माैकेनाइज खेती पर कोई अनुदान नहीं रसायनिक उर्बरकों पर कोई अनुदान नहीं,तो दो चीजों को सुनिश्चित करना पड़ेगा कि मैकेनाइज पर मैकेनाइज खेती पर कोई अनुदान नहीं रसायनिक उर्बरकों पर कोई अनुदान नहीं
