Ourmodel,Hypothesis,Predictions,Filename
पर कौन सी वैल्यू आएगी यह आप सभी को बताना है यहां पर कौन सी वैल्यू आएगी,पर कौन सी वैल्यू आएगी यह आप सभी को बताना है यहां पर कौन सी वैल्यू आएगी,पर कौन सी वैल्यू आएगी यह आप सभी को बताना है यहाँ पर कौन सी वैल्यू आएगी,0520112024_0065_chunk_232
क्वेश्शन नंबर नाइन का राइट आंसर क्या रहेगा र,क्वेश्शन नंबर नाइन का राइट आंसर क्या रहेगा र,क्वेश्चन नंबर नाइन का राइट आनंद सर क्या रहेगा सर,0520112024_0065_chunk_233
इसका अंतर जो है कितना है,इसका अंतर जो है कितना है,इसका अंतर जो है कितना है,0520112024_0065_chunk_236
तीअब तीन का अगर मैं,तीअब तीन का अगर मैं,ठीक है और तीन का अगर मैं,0520112024_0065_chunk_237
अछ और छः का अगर क्यूं की बात करें तो कितना हो जाता है दो सौ सोलह हो जाता है ठीकै,अछ और छः का अगर क्यूं की बात करें तो कितना हो जाता है दो सौ सोलह हो जाता है ठीकै,अच्छा और छः का अगर चूँकि बात करें तो कितना हो जाता है दो सौ सोलह हो जाता है ठीक है,0520112024_0065_chunk_240
आगे,आगे,आगे,0520112024_0065_chunk_241
साथ में सात और,साथ में सात और,साथ में साथ और,0520112024_0065_chunk_242
दस और सात का जो अंतर है वो कितना हो जाता है तीन और तीन के अगर क्यूं की बात करतेह,दस और सात का जो अंतर है वो कितना हो जाता है तीन और तीन के अगर क्यूं की बात करतेह,दस और सात का जो अंतर है वो कितना हो जाता है तीन और तीन के अगर चूँकि बात करते हैं,0520112024_0065_chunk_243
तो सत्ताईस हो जाता है,तो सत्ताईस हो जाता है,तो सत्ताईस हो जाता है,0520112024_0065_chunk_244
ठीक है इसी प्रकार पाँच और सॉरी आठ और तीन का जो अंतर है वो कितना हो जाएगा पांच हो जाएगा और पांच की अर,ठीक है इसी प्रकार पाँच और सॉरी आठ और तीन का जो अंतर है वो कितना हो जाएगा पांच हो जाएगा और पांच की अर,ठीक है इसी प्रकार पाँच और सॉरी आठ और तीन का जो अंतर है वो कितना हो जाएगा पाँच हो जाएगा और पाँच की और,0520112024_0065_chunk_245
एक सौ पच्चीस एक सौ पच्चीस इस द करेक्ट आंसर ऑफ दिस क्वेश्शन,एक सौ पच्चीस एक सौ पच्चीस इस द करेक्ट आंसर ऑफ दिस क्वेश्शन,एक सौ पच्चीस एक सौ पच्चीस इस द करेक्ट आंसर ऑफ दिस क्वेश्चन,0520112024_0065_chunk_248
ओके अगले क्वेश्शन पर बढ़ते हैं साथ्यो जो की स्क्रीन पर है जिसमें पूछा गया है उस विकल्प का चयन करें,ओके अगले क्वेश्शन पर बढ़ते हैं साथ्यो जो की स्क्रीन पर है जिसमें पूछा गया है उस विकल्प का चयन करें,ओके अगले क्वेश्चन पर बढ़ते हैं साथियों जो कि स्क्रीन पर है जिसमें पूछा गया है उस विकल्प का चयन करें,0520112024_0065_chunk_249
तीसरे शब्द से ठीक उसी प्रकार संबंधित है जिस प्रकार दूसरा शब्द पहले शब्द से संबंधित है,तीसरे शब्द से ठीक उसी प्रकार संबंधित है जिस प्रकार दूसरा शब्द पहले शब्द से संबंधित है,तीसरे शब्द से ठीक उसी प्रकार सम्बंधित है जिस प्रकार दूसरा शब्द पहले शब्द से सम्बंधित है,0520112024_0065_chunk_250
तो साथीयों अगर मैं बात करूं भारत नई दिल्ली क्या है नई दिल्ली जो है भारत की राजधानी हो जाती है भारत,तो साथीयों अगर मैं बात करूं भारत नई दिल्ली क्या है नई दिल्ली जो है भारत की राजधानी हो जाती है भारत,तो साथ ही हो अगर मैं बात करूँ भारत नई दिल्ली क्या है नई दिल्ली जो है भारत की राजधानी हो जाती है भारत,0520112024_0065_chunk_251
की राजधानी यानि कैपिटल ऑफ न्यू कैपिटल ऑफ इंडिया क्या हो जाती है न्यू डेहली अगर मैं बात करूँ नेपाल की राजधानी क्या है,की राजधानी यानि कैपिटल ऑफ न्यू कैपिटल ऑफ इंडिया क्या हो जाती है न्यू डेहली अगर मैं बात करूँ नेपाल की राजधानी क्या है,के राजधानी यानी कैपीटल ऑफ न्यू कैपीटल ऑफ इंडिया क्या हो जाती है न्यू डेली अगर मैं बात करूँ नेपाल की राजधानी क्या है,0520112024_0065_chunk_252
ढाका है काठमांडू है या बिलजिंग है या टोक्यो है,ढाका है काठमांडू है या बिलजिंग है या टोक्यो है,ढाका है काठमांडू है या बिल्जिंग है या टोक्यो है,0520112024_0065_chunk_254
नेपाल की राजधानी क्या हो जाएगी,नेपाल की राजधानी क्या हो जाएगी,नेपाल की राजधानी क्या हो जाएगी,0520112024_0065_chunk_255
नेपाल की राजधानी साथियों क्या हो जाएगी जल्दी से बताएंगे,नेपाल की राजधानी साथियों क्या हो जाएगी जल्दी से बताएंगे,नेपाल की राजधानी साथियो क्या हो जायेगी जल्दी से बतायेंगे,0520112024_0065_chunk_256
ऑप्शन नंबर जो है बी बिल्कुल करेक्ट आंसर हो जाएगा काटमांटू क्या हो जाती है नेपाल की राजधानी हो जाती है,ऑप्शन नंबर जो है बी बिल्कुल करेक्ट आंसर हो जाएगा काटमांटू क्या हो जाती है नेपाल की राजधानी हो जाती है,ऑप्शन नंबर जो है वो बिल्कुल करेक्ट आंसर हो जाएगा काठमांटू किया हो जाती है नेपाल की राजधानी हो जाती है,0520112024_0065_chunk_257
साथ ी वो ऑप्शन नंबर पी राइट ंसर है केश्शन नंबर दस का,साथ ी वो ऑप्शन नंबर पी राइट ंसर है केश्शन नंबर दस का,साथ ही वो ऑप्शन नंबर पे राइट है सर है ऑप्शन नंबर दस का,0520112024_0065_chunk_258
अगला क्वेश्शन जिसमें पूछा गया है निम्नलिखित शब्दों की एक तर्कपूर्ण और अर्थपूर्ण व्यवस्था को दर्शाने वाले सही विकल् हं,अगला क्वेश्शन जिसमें पूछा गया है निम्नलिखित शब्दों की एक तर्कपूर्ण और अर्थपूर्ण व्यवस्था को दर्शाने वाले सही विकल् हं,अगला क्वेश्चन जिसमें पूछा गया है निम्नलिखित शब्दों की एक तर्कपूर्ण और अर्थपूर्ण व्यवस्था को दर्शाने वाले सही विकल्प है,0520112024_0065_chunk_259
यनकार,यनकार,जी सर,0520112024_0065_chunk_260
चयन करें जल्दी से बताओगे साथ ी,चयन करें जल्दी से बताओगे साथ ी,चयन करें जल्दी से बताओगे साथ ही,0520112024_0065_chunk_261
क्वेश्शन नंबर ग्यारह का राइट आंसर देखो आप सभी जानते हैं घंटा,क्वेश्शन नंबर ग्यारह का राइट आंसर देखो आप सभी जानते हैं घंटा,क्वैशन नंबर ग्यारह का राइट आन सर देखो आप सभी जानते हैं घंटा,0520112024_0065_chunk_262
और महीना सेकेंड दिन मिनट सप्ताह इस समय जो सबसे पहला क्रम होता है वो किसका होता है सेकेंड का ै,और महीना सेकेंड दिन मिनट सप्ताह इस समय जो सबसे पहला क्रम होता है वो किसका होता है सेकेंड का ै,और महीना आठ सेकंड दिन दस मिनट दस सप्ताह इस समय जो सबसे पहला क्रम होता है वो किसका होता है पच्चीस सेकंड का है,0520112024_0065_chunk_263
होतै यानी तीन सबसे पहले आएगा उसके बाद में होता है फिर मिनत,होतै यानी तीन सबसे पहले आएगा उसके बाद में होता है फिर मिनत,होता है यानि तीन सब से पहले आएगा उस के बाद में होता है फिर मीनट,0520112024_0065_chunk_264
तो तीन के बाद क्या आएगा पांच आ जाएगा,तो तीन के बाद क्या आएगा पांच आ जाएगा,तो तीन के बाद क्या आएगा पाँच आ जाएगा,0520112024_0065_chunk_265
ओके तीन के बाद पांच आ जाएगा पांच नंबर पर ये लिखखा है और मिनट के बाद होता है फिर घंटा,ओके तीन के बाद पांच आ जाएगा पांच नंबर पर ये लिखखा है और मिनट के बाद होता है फिर घंटा,ओके तीन के बाद पाँच आ जाएगा पाँच नंबर पर ये लिखा है और पच्चीस मिनट बाद होता है फिर घंटा,0520112024_0065_chunk_266
तो पांच के बाद एक आएगा,तो पांच के बाद एक आएगा,तो पाँच के बाद एक आएगा,0520112024_0065_chunk_267
और इसके बाद में अगर बात करें घंटा के बाद क्या होता है दिन यानी चार आ जाएगा एकके,और इसके बाद में अगर बात करें घंटा के बाद क्या होता है दिन यानी चार आ जाएगा एकके,और इसके बाद में अगर बात करें घंटा के बाद क्या होता है दिन यानि चार आ जायेगा एक ओर,0520112024_0065_chunk_268
,,,0520112024_0065_chunk_269
एक के बाद चार आ गया,एक के बाद चार आ गया,एक के बाद चार्ज आ गया,0520112024_0065_chunk_270
ब,ब,बीस हज़ार तीस हज़ार तीस हज़ार,0520112024_0065_chunk_271
दिन के बादकी अगर मैं बात करूं तो दिनों का समूह को क्या कहते हैं विक कहते हैं यानी सप्ताह,दिन के बादकी अगर मैं बात करूं तो दिनों का समूह को क्या कहते हैं विक कहते हैं यानी सप्ताह,एक दिन के बाद की अगर मैं बात करूँ तो दिनों का समूह को क्या कहते हैं दिन कहते हैं यानी एक सप्ताह,0520112024_0065_chunk_272
क तो छः आ जाएगा,क तो छः आ जाएगा,अच्छा है आ जाएगा,0520112024_0065_chunk_273
और सप्ताह के समूह को क्या कहते हैं साथीयो मंथ कहते हैं यानी धोआ जाएगा तो इस प्रकार सबसे पहले कया है,और सप्ताह के समूह को क्या कहते हैं साथीयो मंथ कहते हैं यानी धोआ जाएगा तो इस प्रकार सबसे पहले कया है,और सप्‍ताह के समूह को क्‍या कहते हैं साथ ही ओ मंथ कहते हैं यानि धोया जाएगा तो इस प्रकार सब से पहले का है,0520112024_0065_chunk_274
हमारा तीन आएगा पांच आएगा तो इसऑप्शन ए से ही क्लियर हो रहा है ऑप्शन ए इसका बिल्कुल करेक्ट आंस,हमारा तीन आएगा पांच आएगा तो इसऑप्शन ए से ही क्लियर हो रहा है ऑप्शन ए इसका बिल्कुल करेक्ट आंस,हमारा तीन आएगा पाँच आएगा तो इस ऑप्शन ऐ से ही क्लियर हो रहा है ऑप्शन ऐ इसका बिल्कुल करेक्ट ऐन्स,0520112024_0065_chunk_275
क्योंकि तीन एक ही विकल्प में है जो कि ऑप्शन ए है अगला क्वश्शन स्क्रीन पर है,क्योंकि तीन एक ही विकल्प में है जो कि ऑप्शन ए है अगला क्वश्शन स्क्रीन पर है,क्योंकि तीन एक ही विकल्प में है जो कि ऑप्शन ए है अगला क्वेशन स्क्रीन पर है,0520112024_0065_chunk_276
कवश्शन नंबर बारह में ये कहा गया है नीचे चार विकल्प दिए गए हैं इनमें से तीन किसी न किसी रूप,कवश्शन नंबर बारह में ये कहा गया है नीचे चार विकल्प दिए गए हैं इनमें से तीन किसी न किसी रूप,क्वेश्चन नंबर बारह में यह कहा गया है कि नीचे चार विकल्प दिए गए है इनमें से तीन किसी न किसी रूप के,0520112024_0065_chunk_277
में सामान है परंतु एक अलग है अलग का चयन करें साथयों यहां पर चार विकल्प दिए गए हैं,में सामान है परंतु एक अलग है अलग का चयन करें साथयों यहां पर चार विकल्प दिए गए हैं,में समान है परंतु एक अलग है अलग का चयन करें साथ ही यहाँ पर चार विकल्‍प दिए गए हैं,0520112024_0065_chunk_278
इन चारों में तीन किसी ने किसी प्रकार से सामान है जबकि एक विशम है जो विशम है उसके बारे,इन चारों में तीन किसी ने किसी प्रकार से सामान है जबकि एक विशम है जो विशम है उसके बारे,इन चारों में तीन किसी ने किसी प्रकार से समान हैं जबकि एक विषम है जो विषम है उसके बारे,0520112024_0065_chunk_279
बताना  आपको कौन सा है बिसम क्वेश्शन नंबर बारह का राइट आंसरक्या होगा जल्दी से बताएंगे,बताना  आपको कौन सा है बिसम क्वेश्शन नंबर बारह का राइट आंसरक्या होगा जल्दी से बताएंगे,बताना मैम आप को कौन सा है डिसमिल क्वेश्चन नंबर बारह का राइट आंसर क्या होगा जल्दी से बताएंगे,0520112024_0065_chunk_280
देखो अगर मैं बात करता हूं सं इन संख्याओं का योग देखते हैं तो,देखो अगर मैं बात करता हूं सं इन संख्याओं का योग देखते हैं तो,देखो अगर मैं बात करता हूँ इन संख्याओं का योग देखते हैं तो,0520112024_0065_chunk_281
और दूसरे ऑप्शन की बात करते हैं तो छः और चार दस हो जाएगा यानी यहां पर भी दस हो रहाहै,और दूसरे ऑप्शन की बात करते हैं तो छः और चार दस हो जाएगा यानी यहां पर भी दस हो रहाहै,और दूसरे ऑप्शन की बात करते हैं तो छः और चार दस हो जाएगा यानि यहाँ पर भी दस हो रहा है,0520112024_0065_chunk_284
और,और,और,0520112024_0065_chunk_285
आठ और दो दस दस और चार चौदह हो जाएगा यहा पर,आठ और दो दस दस और चार चौदह हो जाएगा यहा पर,आठ और दो दस दस और चार चौदह हो जाएगा यहाँ पर,0520112024_0065_chunk_286
चौद चौदह हो जा रहा है,चौद चौदह हो जा रहा है,चौदह-चौदह हो जा रहा है,0520112024_0065_chunk_287
और,और,और,0520112024_0065_chunk_288
नौ एक दस दस और तीन तेरह हो जाएगा साथो यहां पर एक कनक्लूजन यह निकला,नौ एक दस दस और तीन तेरह हो जाएगा साथो यहां पर एक कनक्लूजन यह निकला,नौ एक दस दस और तीन तेरह हो जाएगा साथ तो यहाँ पर एक कन्क्लुजन नहीं निकला,0520112024_0065_chunk_289
कि ऑप्शन ए बी सी इन तीनों का स्पीनों ऑप्शनस की संख्याओं का जो योग है वो सम है जबके ऑप्शन नंबर ी,कि ऑप्शन ए बी सी इन तीनों का स्पीनों ऑप्शनस की संख्याओं का जो योग है वो सम है जबके ऑप्शन नंबर ी,कि ऑप्शन ए बी सी इन तीनों का स्पिनो ऑप्शन्स की संख्याओं का जो योग है वो सम है जबकि ऑप्शन नंबर सत्ताईस छत्तीस,0520112024_0065_chunk_290
जो संख्या है,जो संख्या है,जो संख्या है,0520112024_0065_chunk_291
उसका संख्याओं का जो योग है वो क्या है विशम है तो इसी प्रकार हमारा जो राइट आंसर है,उसका संख्याओं का जो योग है वो क्या है विशम है तो इसी प्रकार हमारा जो राइट आंसर है,उसका संख्याओं का जो योग है वो क्या हैं विषम हैं तो इसी प्रकार हमारा जो राइट आन्सर है,0520112024_0065_chunk_292
ऑप्शन नंबर डी हो जाएगा साथ ही कोशन नंब,ऑप्शन नंबर डी हो जाएगा साथ ही कोशन नंब,ऑप्शन नंबर डी हो जाएगा साथ ही क्वॉशन नंबर,0520112024_0065_chunk_293
बारह का जो राइट आंसर है वो ड्री होगा अगला क्वेश्शन स्क्रीन पर है,बारह का जो राइट आंसर है वो ड्री होगा अगला क्वेश्शन स्क्रीन पर है,बारह का जो राइट आंसर है वो ड्री होगा अगला क्वैशन स्क्रीन पर है,0520112024_0065_chunk_294
जिसमें कहा गया है कपील की ऊर इसारा करते हुए आदित्य ने कहा,जिसमें कहा गया है कपील की ऊर इसारा करते हुए आदित्य ने कहा,जिसमें कहा गया है कपील की ओर इसारा करते हुए आदित्य ने कहा,0520112024_0065_chunk_295
एक कपिल है उसकी ओर इसारा करते हुए कौन कह रहे हैं आदत्य आदत्य कह रहा,एक कपिल है उसकी ओर इसारा करते हुए कौन कह रहे हैं आदत्य आदत्य कह रहा,एक कपिल है उसकी ओर इशारा करते हुए कौन कह रहे हैं आदित्य आदित्य कह रहे हैं,0520112024_0065_chunk_296
कि आदत्य ने कहा उसके पिता जो कपिल है वो यहां पर है कपिल के जो पिता है,कि आदत्य ने कहा उसके पिता जो कपिल है वो यहां पर है कपिल के जो पिता है,कि आदित्य ने कहा उसके पिता जो कपिल है वह यहाँ पर है कपिल के जो पिता है,0520112024_0065_chunk_297
कपील के पिता यहां पर हो जाएंगे ठीक है कपिल के पिता,कपील के पिता यहां पर हो जाएंगे ठीक है कपिल के पिता,कपिल के पिता यहाँ पे हो जाएंगे ठीक है कपिल के पिता,0520112024_0065_chunk_298
मेरे पिता के,मेरे पिता के,मेरे पिता के,0520112024_0065_chunk_299
आदते यहां पर है तो मेरे पिता क उसके पिता यहां पर हो गए,आदते यहां पर है तो मेरे पिता क उसके पिता यहां पर हो गए,आते यहाँ पर है तो मेरे पिता का उसके पिता यहाँ पर हो गए,0520112024_0065_chunk_300
और यहां पर भी क्या हो जाएगा साथी ह ये भी एक पिता हो जाएगा ठीक,और यहां पर भी क्या हो जाएगा साथी ह ये भी एक पिता हो जाएगा ठीक,और यहाँ पर भी क्या हो जाएगा साथ ही ये भी एक-एक तक हो जाएगा ठीक है,0520112024_0065_chunk_302
जे भी पेटा हो गया,जे भी पेटा हो गया,जी जी पीठा हो गया,0520112024_0065_chunk_303
अब आगे खाए मेरे पिता के पिता की बेटी,अब आगे खाए मेरे पिता के पिता की बेटी,अब आगे खाए मेरे पिता के पिता की बेटी,0520112024_0065_chunk_304
यानि मेरे पिता के पिता की बीच,यानि मेरे पिता के पिता की बीच,यानी मेरे पिता के पिता की बीच,0520112024_0065_chunk_305
इसके पिता होंगे यहां पर इसके भी पिता होंगे ठीक  उनकी बेटी यहां पर आएगी ठीक है बेट,इसके पिता होंगे यहां पर इसके भी पिता होंगे ठीक  उनकी बेटी यहां पर आएगी ठीक है बेट,के पिता होंगे यहाँ पर इसके भी पिता होंगे ठीक है यार उनकी बेटी यहाँ पर आएगी ठीक है बेट,0520112024_0065_chunk_306
बेत,बेत,वही,0520112024_0065_chunk_307
के पत्ति हैं तो यहां पर क्या हुई उनकी बेटी हुई और ये जो है वो आदत्य की कौन हुई हुआ,के पत्ति हैं तो यहां पर क्या हुई उनकी बेटी हुई और ये जो है वो आदत्य की कौन हुई हुआ,की पत्ती है तो यहाँ पर क्या हुई इनकी बेटी हुई और ये जो है वो आदित्य के कोरोना हुई हुआ है,0520112024_0065_chunk_308
हुई ये लड़की और पूआ का कौन हुआ,हुई ये लड़की और पूआ का कौन हुआ,हुई ये लड़की और पुआ का कौन हुआ,0520112024_0065_chunk_309
बू ये जो आदृत्य के पिता हैं वो भुआ के मतलबउसके आदृत्य के  कपल के जो पिता हैं वो आदृत्य,बू ये जो आदृत्य के पिता हैं वो भुआ के मतलबउसके आदृत्य के  कपल के जो पिता हैं वो आदृत्य,वो ये जो आदृत्य के पिता है वो भवा के मतलब उसके आदृत्य के यह कपल के जो पिता है वो आदृत्य,0520112024_0065_chunk_310
क भूपाल जी हु आगे कहा है आदित्य के पिता का कपिल की माता से,क भूपाल जी हु आगे कहा है आदित्य के पिता का कपिल की माता से,भोपाल जी ने आगे कहा है आदित्य के पिता का कपिल की माता से,0520112024_0065_chunk_311
कपिल की माता से,कपिल की माता से,कपिल की माता से,0520112024_0065_chunk_312
आदत्य के पिता का जो है वो कपिल की माता से क्या संबंध है तो इसका जो राइट आंसर है,आदत्य के पिता का जो है वो कपिल की माता से क्या संबंध है तो इसका जो राइट आंसर है,आदत्य के पिता का जो है वो कपिल की माता से क्या सम्बंध है तो इसका जो राइट आन्सर है,0520112024_0065_chunk_313
वो क्या रहेगा साथी ो राइट ह जो आंसर है ऑप्शन नंबर तेर का क्या रहेगा जल्दी से बताएंगे,वो क्या रहेगा साथी ो राइट ह जो आंसर है ऑप्शन नंबर तेर का क्या रहेगा जल्दी से बताएंगे,वो क्या रहेगा साथ ही जो राइट जो आंसर है ऑप्शन नंबर तेरह का क्या रहेगा जल्दी से बताएंगे,0520112024_0065_chunk_314
मेरे हिसाब से इस क्ेशशन का राइट आंसर भाई होगा क्योंकि ये इसकी बहन हो जाएगी ओके बाई बहन हो जाएंगे ऑप्शन,मेरे हिसाब से इस क्ेशशन का राइट आंसर भाई होगा क्योंकि ये इसकी बहन हो जाएगी ओके बाई बहन हो जाएंगे ऑप्शन,मेरे हिसाब से इस क्रेशन का राइट आन्सर भाई होगा क्योंकि यह इसकी बहन हो जाएगी ओके बाई बहन हो जाएंगे ओप्सन,0520112024_0065_chunk_315
अगला क्वेश्शन स्क्रीन पर है जिसका राइट आंसर बताएंगे सभी क्या होगा,अगला क्वेश्शन स्क्रीन पर है जिसका राइट आंसर बताएंगे सभी क्या होगा,अगला कोकोशन स्क्रीन पर है जिसका राइट ऑन्सर बताएंगे सभी क्या होगा,0520112024_0065_chunk_317
सका अर्थ जो है भाग और सी का अर्थ जो है माइनस होत,सका अर्थ जो है भाग और सी का अर्थ जो है माइनस होत,उसका अर्थ जो है भाग और सी का अर्थ जो है माइनस,0520112024_0065_chunk_320
निम्न व्यंजनों का मान क्या होगा तो यहां पर सबसे पहले हमें समझ लेना है मल्टिप्लिकेशन और यहां पर समझना है,निम्न व्यंजनों का मान क्या होगा तो यहां पर सबसे पहले हमें समझ लेना है मल्टिप्लिकेशन और यहां पर समझना है,निम्‍न व्‍यंजनों का मान क्‍या होगा तो यहाँ पर सब से पहले हमें समझ लेना है मल्‍टीप्‍लीकेसन और यहाँ पर समझना है,0520112024_0065_chunk_321
म पला,म पला,हम्म,0520112024_0065_chunk_322
पलस समझ लेना है और स्टार कहां पर है,पलस समझ लेना है और स्टार कहां पर है,प्लेस समझ लेना और स्टार कहाँ पर हैं,0520112024_0065_chunk_323
बात करूं यहां पर,बात करूं यहां पर,बात करूँ यहाँ पर,0520112024_0065_chunk_326
डॉलर की जगह पर प्लफ्स हो जाएगा,डॉलर की जगह पर प्लफ्स हो जाएगा,आज डॉलर की जगह पर प्लवस हो जाएगा,0520112024_0065_chunk_327
और इसके बाद,और इसके बाद,और इसके बाद,0520112024_0065_chunk_328
स्टार की जगह पर मल्टिप्लाएई हो जाएगा और इसकी जगह पर माइनस हो जाएगा तो इसमें बोटमास का जो रूल है,स्टार की जगह पर मल्टिप्लाएई हो जाएगा और इसकी जगह पर माइनस हो जाएगा तो इसमें बोटमास का जो रूल है,स्टार की जगह पर मल्टिप्लाई हो जाएगा और इसकी जगह पर माइनस हो जाएगा तो इसमें बोट मास का जो रूल है,0520112024_0065_chunk_329
वो लागू होता है सबसे पहले हमें क्या करना होता है डिवाइज करना होता है यहां पर डिवा,वो लागू होता है सबसे पहले हमें क्या करना होता है डिवाइज करना होता है यहां पर डिवा,वो लागू होता है सबसे पहले हमें क्या करना होता है डिवाइस करना होता है यहाँ पर डिवा,0520112024_0065_chunk_330
बारती छत्तीस बारहती छत्तीस औरेशी काटेंगे यहां पर,बारती छत्तीस बारहती छत्तीस औरेशी काटेंगे यहां पर,बारहती छत्तीस बारहती छत्तीस वैसे काटेंगे यहाँ पर,0520112024_0065_chunk_332
तो पंद्रह बार कया सीधा सीधा पंद्रह बार क ठीक है अब इसके बाद मल्टीप्लिकेशन करेंगे,तो पंद्रह बार कया सीधा सीधा पंद्रह बार क ठीक है अब इसके बाद मल्टीप्लिकेशन करेंगे,तो पंद्रह बार क्या सीधासीधा पंद्रह बार क्या ठीक है अब इसके बाद मल्टीप्लीकेशन करेंगे,0520112024_0065_chunk_333
तो,तो,तो,0520112024_0065_chunk_334
अठास,अठास,अच्छा अच्छा,0520112024_0065_chunk_338
अ्ठाईस में से हमें माइनस करना है कितना,अ्ठाईस में से हमें माइनस करना है कितना,अट्ठाईस में से हमें माइनस करना है कितना,0520112024_0065_chunk_339
अड़तालीस तो अड़तालीस को माइनस कर देंगे यहां पर कितना बचेगा,अड़तालीस तो अड़तालीस को माइनस कर देंगे यहां पर कितना बचेगा,अड़तालीस तो अड़तालीस को माइनस कर देंगे यहाँ पर कितना बचेगा,0520112024_0065_chunk_340
ोंतु और यहां पर,ोंतु और यहां पर,तो और यहाँ पर,0520112024_0065_chunk_341
सात में से चार गया तो,सात में से चार गया तो,सात में से चार ग्यारह हैं तो,0520112024_0065_chunk_342
तीन और यहां पर बचचा,तीन और यहां पर बचचा,तीन और यहां पर बचा,0520112024_0065_chunk_343
दो दो सौ बत्तीस दो सौ बत्तीस में हमें पंद्रह और जोड़ देना है क्योंकि पंद्रह ये भी तो है येयहा पलस का निशान है तो सात हो गया,दो दो सौ बत्तीस दो सौ बत्तीस में हमें पंद्रह और जोड़ देना है क्योंकि पंद्रह ये भी तो है येयहा पलस का निशान है तो सात हो गया,दो दो सौ बत्तीस दो सौ बत्तीस में हमें पन्द्रह और जोड़ देना है क्योंकि पन्द्रह ये भी तो है यह यहां पल्स का निशान है तो सात हो गया है,0520112024_0065_chunk_344
और सात के बाद यहां पर हो गया चाम,और सात के बाद यहां पर हो गया चाम,और सात के बाद यहां पर हो गया चाम,0520112024_0065_chunk_345
और,और,और,0520112024_0065_chunk_346
स कवेशन का,स कवेशन का,स्कवेशन का,0520112024_0065_chunk_348
अगले क्वेश्शन पर जाते हैं जोकी स्क्रीन पर है जिसमें कहा गया है दिए गए विकल्पों में से कौन सा निस्कर्स,अगले क्वेश्शन पर जाते हैं जोकी स्क्रीन पर है जिसमें कहा गया है दिए गए विकल्पों में से कौन सा निस्कर्स,अगले क्वेश्चन पर जाते हैं जोकि स्क्रीन पर है जिसमें कहा गया है दिए गए विकल्पों में से कौन सा निस्कर्स,0520112024_0065_chunk_349
कथनों का तार्किक,कथनों का तार्किक,कथनों का तार्किक,0520112024_0065_chunk_350
रूप में अनुसरण करता है,रूप में अनुसरण करता है,रूप मे अनुसरण करता है,0520112024_0065_chunk_351
कवशशन नंबर पंद्रह का राइट आंसर बताएंगे जल्दी से देखु श आती हू जिसमें कहा है सबकी बोतलैम पैनसेल है,कवशशन नंबर पंद्रह का राइट आंसर बताएंगे जल्दी से देखु श आती हू जिसमें कहा है सबकी बोतलैम पैनसेल है,क्वेश्चन नंबर पंद्रह का राइट आनंद से बताएंगे जल्दी से देखो शराब आती हूँ जिसमें कहाँ है सबकी बोतल है पेन सेल है,0520112024_0065_chunk_352
ये क्या है पूतल है,ये क्या है पूतल है,ये क्या कोतल है,0520112024_0065_chunk_353
ये हो गई हमारी बोतर क्या है पैंसेल है,ये हो गई हमारी बोतर क्या है पैंसेल है,ये हो गई हमारी वो तरीके क्या है पैसे में,0520112024_0065_chunk_354
पैंसिल हो गए आगे काै कोई पैंसल स्कूल नहीं है,पैंसिल हो गए आगे काै कोई पैंसल स्कूल नहीं है,पेंसिल हो गया आगे का है कोई पेंसिल इसको लेनी है,0520112024_0065_chunk_355
