wav2vec2,Hypothesis,Predictions
के पास शेयर करनिं क्लास को और जिसने अभी तक लाइक नहीं किया लाइक करने जितने भी साथी चैनल पर नए,के पास शेयर करनिं क्लास को और जिसने अभी तक लाइक नहीं किया लाइक करने जितने भी साथी चैनल पर नए,के पास शेयर करनी क्लास को और जिसने अभी तक लाइक नहीं किया लाइक करने जितने भी साथी चैनल पर नए
हेन चैनल को सब्स्क्राइब कर ले ये क्लास रोज होगी जब तक आपकी यूपी पुलेस की परीक्षा खत्म नहीं हो जाती है रूज,हेन चैनल को सब्स्क्राइब कर ले ये क्लास रोज होगी जब तक आपकी यूपी पुलेस की परीक्षा खत्म नहीं हो जाती है रूज,हेन चैनल को सब्स्क्राइब कर ले ये क्लास रोज़ होगी जब तक आपकी यूपी पुलिस की परीक्षा खत्म नहीं हो जाती है रोज़
दोपहर डेढ़ बजे आजाय करेगी ये क्लास सभी साथी जरूर देखिएगा देखू साथि हो वायुशाखा वायुशाखा हमारा आग का पर्याबाजी,दोपहर डेढ़ बजे आजाय करेगी ये क्लास सभी साथी जरूर देखिएगा देखू साथि हो वायुशाखा वायुशाखा हमारा आग का पर्याबाजी,दोपहर डेढ़ बजे आजाय करेगी ये क्लास सभी साथी जरूर देखिएगा देखो साथी हो वायुशाखा वायुशाखा हमारा आग का पर्याबाजी
ीहै हम इसे वायुशेखा को ऐसे याद कर सकते हैं अगर,ीहै हम इसे वायुशेखा को ऐसे याद कर सकते हैं अगर,जी हम इसे वायुशेखा को ऐसे याद कर सकते हैं अगर
मतलब वायु यानी हवा चल रही हो तो अगर कहीं पर आग लगी हो तो उसका हवा का सहारा ले करके,मतलब वायु यानी हवा चल रही हो तो अगर कहीं पर आग लगी हो तो उसका हवा का सहारा ले करके,मतलब वायु यानी हवा चल रही हो तो अगर कहीं पर आग लगी हो तो उसका हवा का सहारा ले करके
जो हमारा वाग जो आग का पर्यावाची हो जाता है,जो हमारा वाग जो आग का पर्यावाची हो जाता है,जो हमारा वाग जो आग का पर्यावाची हो जाता है
द भी हो जाएगा,द भी हो जाएगा,हाँ जी हो जाएगा
क्या देते हैं कामना भी इक्छाको जी क्या देते हैं इस प्रहाभी इक्छाकोजी क्या देते हैं यहाँ पर याचनाअगर होता तो,क्या देते हैं कामना भी इक्छाको जी क्या देते हैं इस प्रहाभी इक्छाकोजी क्या देते हैं यहाँ पर याचनाअगर होता तो,क्या देते हैं कामना भी इक्छाओं जी क्या देते हैं इस प्रहाभी इक्छाओं जी क्या देते हैं यहाँ पर याचना अगर होता तो
ो तो सही था तो सही था याचना हमारा इच्छा का पर्याबाजी हो जाता है लेकिन यह यात्ना तो यात्ना साथियों,ो तो सही था तो सही था याचना हमारा इच्छा का पर्याबाजी हो जाता है लेकिन यह यात्ना तो यात्ना साथियों,तो सही था तो सही था याचना हमारा इच्छा का पर्याबाजी हो जाता है लेकिन यह यातना तो यातना साथियों
जाएगा,जाएगा,जाएगा
कु्श नंबर नेक्स जिसमें पूछा गया है निम्नलिखित में से,कु्श नंबर नेक्स जिसमें पूछा गया है निम्नलिखित में से,कुश नंबर नेक्स जिसमें पूछा गया है निम्नलिखित में से
पानी का पर्यावाजीत शब्द नहीं है साथी पानी का पर्यावाची कौनसा नहीं है अंबू अंबू पानी का पर्यावाची होता है मेघपुष्प मेघपुखपुष,पानी का पर्यावाजीत शब्द नहीं है साथी पानी का पर्यावाची कौनसा नहीं है अंबू अंबू पानी का पर्यावाची होता है मेघपुष्प मेघपुखपुष,पानी का पर्यावाजीत शब्द नहीं है साथी पानी का पर्यावाची कौनसा नहीं है अंबू अंबू पानी का पर्यावाची होता है मेघपुष्प मेघपुष्प
भी पानी का पर्याबाची हो जाता है और जबकि नीर भी पानी का पर्याबाची हो जाता है साथ ही रस जो,भी पानी का पर्याबाची हो जाता है और जबकि नीर भी पानी का पर्याबाची हो जाता है साथ ही रस जो,भी पानी का पर्याबाची हो जाता है और जबकि नीर भी पानी का पर्याबाची हो जाता है साथ ही रस जो
है वो हमारा पानी का पर्यावाची नहीं होता है इस प्रकार इसका राइट आमसर,है वो हमारा पानी का पर्यावाची नहीं होता है इस प्रकार इसका राइट आमसर,है वो हमारा पानी का पर्यावाची नहीं होता है इस प्रकार इसका राइट आमसर
जिसमें पूछा गया है निम्नलिखित में से घर का पर्यावाची शब्द नहीं है साथीयों घर का पर्यावाची शब्द कौनसा नही,जिसमें पूछा गया है निम्नलिखित में से घर का पर्यावाची शब्द नहीं है साथीयों घर का पर्यावाची शब्द कौनसा नही,जिसमें पूछा गया है निम्नलिखित में से घर का पर्यावाची शब्द नहीं है साथी घर का पर्यावाची शब्द कौनसा नही
पावक नहीं है सदन नहीं ै साला नहीं है या फिर निकेधन नहीं है देखो निकेतन आपका क्या हो जाताहै,पावक नहीं है सदन नहीं ै साला नहीं है या फिर निकेधन नहीं है देखो निकेतन आपका क्या हो जाताहै,पावक नहीं है सदन नहीं साला नहीं है या फिर निकेधन नहीं है देखो निकेतन आपका क्या हो जाता है
है घर का पर्यावाची हो जाता है सदनी घर का पर्यावाची हो जाता है जबकि सालाबी घर का पर्यावाची हो,है घर का पर्यावाची हो जाता है सदनी घर का पर्यावाची हो जाता है जबकि सालाबी घर का पर्यावाची हो,है घर का पर्यावाची हो जाता है सदनी घर का पर्यावाची हो जाता है जबकि सालाबी घर का पर्यावाची हो
जाता है पावक साथियों जो है ये घर का पर्यावाची नहीं होता है तो इस प्रकार इसका करेक्ट एंसर ऑप्शन,जाता है पावक साथियों जो है ये घर का पर्यावाची नहीं होता है तो इस प्रकार इसका करेक्ट एंसर ऑप्शन,जाता है पावक साथियों जो है ये घर का पर्यावाची नहीं होता है तो इस प्रकार इसका करेक्ट एंसर ऑप्शन
नंबर ए हो जाता है ठी,नंबर ए हो जाता है ठी,नंबर ए हो जाता है ठीक
अगला क्वेश्शन जिसमें पूछा गया है विशीषण कितनी प्रकार के होते हैं साथ्यों विशीषण कितने प्रकार के होते हैं जल्दी,अगला क्वेश्शन जिसमें पूछा गया है विशीषण कितनी प्रकार के होते हैं साथ्यों विशीषण कितने प्रकार के होते हैं जल्दी,अगला क्वेश्शन जिसमें पूछा गया है विशीषण कितनी प्रकार के होते हैं साथी विशीषण कितने प्रकार के होते हैं जल्दी
से बताएंगे विशेषण कितने प्रकार के हो जाते हैं दो प्रकार के हो जाते या फिर चार प्रकार के हो,से बताएंगे विशेषण कितने प्रकार के हो जाते हैं दो प्रकार के हो जाते या फिर चार प्रकार के हो,से बताएंगे विशेषण कितने प्रकार के हो जाते हैं दो प्रकार के हो जाते या फिर चार प्रकार के हो
ो जाते ै या फिर छह प्रकार के होते हैं या फिर आपके साथियों तीन प्रकार के होते हैं साथीयूं क्लास,ो जाते ै या फिर छह प्रकार के होते हैं या फिर आपके साथियों तीन प्रकार के होते हैं साथीयूं क्लास,वो जाते हैं या फिर छह प्रकार के होते हैं या फिर आपके साथियों तीन प्रकार के होते हैं साथियों क्लास
सको अधिक से अधिक शेयर करूं देखो काफी कम,सको अधिक से अधिक शेयर करूं देखो काफी कम,सको अधिक से अधिक शेयर करूँ देखो काफ़ी कम
साथियों की संख्या यहाँं पर दिखाई दे रही है,साथियों की संख्या यहाँं पर दिखाई दे रही है,साथियों की संख्या यहाँ पर दिखाई दे रही है
सभी साथी क्लास को शेयर करें अधिक से अधिक और बताएं कि विशेषण जो हैं वो कितने प्रकार के हो जाते हैं,सभी साथी क्लास को शेयर करें अधिक से अधिक और बताएं कि विशेषण जो हैं वो कितने प्रकार के हो जाते हैं,सभी साथी क्लास को शेयर करें अधिक से अधिक और बताएं कि विशेषण जो हैं वो कितने प्रकार के हो जाते हैं
वे शे्षा,वे शे्षा,वे शेषा
ा जो है,ा जो है,हाँ जो है
ऑप्शन नंबर साथी ु इसका राइट आंसर हो जाएगा बी बी बिल्कुल करेक्ट आंसर है अगला कोश्शन साथयों जिसमें पूछा गया,ऑप्शन नंबर साथी ु इसका राइट आंसर हो जाएगा बी बी बिल्कुल करेक्ट आंसर है अगला कोश्शन साथयों जिसमें पूछा गया,ऑप्शन नंबर साथी इसका राइट आंसर हो जाएगा बी बी बिल्कुल करेक्ट आंसर है अगला कोश्शन साथियों जिसमें पूछा गया
ह सर्वनाम कितने प्रकार के होते हैं सर्वनाम कितने प्रकार के होते हैं जल्दी से बताएंगे साथीयो सभी सर्वनाम के,ह सर्वनाम कितने प्रकार के होते हैं सर्वनाम कितने प्रकार के होते हैं जल्दी से बताएंगे साथीयो सभी सर्वनाम के,सर्वनाम कितने प्रकार के होते हैं सर्वनाम कितने प्रकार के होते हैं जल्दी से बताएंगे साथीयो सभी सर्वनाम के
जोहे कितने प्रकार हो जाते हैं,जोहे कितने प्रकार हो जाते हैं,जोहे कितने प्रकार हो जाते हैं
सर्वनाम के जो है कितने प्रकार हो जाते हैं जल्दीजल्दी बताएंगे देखो सर्वनाम के तीन प्रकार होते हैं चार होते,सर्वनाम के जो है कितने प्रकार हो जाते हैं जल्दीजल्दी बताएंगे देखो सर्वनाम के तीन प्रकार होते हैं चार होते,सर्वनाम के जो है कितने प्रकार हो जाते हैं जल्दी-जल्दी बताएंगे देखो सर्वनाम के तीन प्रकार होते हैं चार होते
या फिर पांच होते हैं छाए होते हैं साथी उसका करेक्ट आंसर ऑप्शन नंबर सी हो जाएसरीजी हो,या फिर पांच होते हैं छाए होते हैं साथी उसका करेक्ट आंसर ऑप्शन नंबर सी हो जाएसरीजी हो,या फिर पांच होते हैं छाए होते हैं साथी उसका करेक्ट आंसर ऑप्शन नंबर सी हो जाएसरीजी हो
जाएगा यानी सर्वनाम के जो प्रकार है वो,जाएगा यानी सर्वनाम के जो प्रकार है वो,जाएगा यानि सर्वनाम के जो प्रकार है वो
दृष्टि से सातीर शब्दों के जो भीद होते हैं वो कितने हो जाते हैं चार हो जाते हैं ऑप्शन नंबर बी,दृष्टि से सातीर शब्दों के जो भीद होते हैं वो कितने हो जाते हैं चार हो जाते हैं ऑप्शन नंबर बी,दृष्टि से सातीर शब्दों के जो भीद होते हैं वो कितने हो जाते हैं चार हो जाते हैं ऑप्शन नंबर बी
ंके कितने भेद होते हैं तो रचना की दृष्टि से साथियों तीनभेद हो जाते हैं अगला कुश्शन संज्ञा के कितने,ंके कितने भेद होते हैं तो रचना की दृष्टि से साथियों तीनभेद हो जाते हैं अगला कुश्शन संज्ञा के कितने,ंके कितने भेद होते हैं तो रचना की दृष्टि से साथियों तीन भेद हो जाते हैं अगला कुश्शन संज्ञा के कितने
भेद होते हैं साथियों संज्ञा के जो हैं देखो ये आधुनिक आधुनिक रूप में पूछा गया है आधुनिक में,भेद होते हैं साथियों संज्ञा के जो हैं देखो ये आधुनिक आधुनिक रूप में पूछा गया है आधुनिक में,भेद होते हैं साथियों संज्ञा के जो हैं देखो ये आधुनिक आधुनिक रूप में पूछा गया है आधुनिक में
संज्ञा के कितने भेद होते है वैसे तो तीन होते हैं आप सभी जानते हो ोके लेकिन आधुनिक रूप में,संज्ञा के कितने भेद होते है वैसे तो तीन होते हैं आप सभी जानते हो ोके लेकिन आधुनिक रूप में,संज्ञा के कितने भेद होते हैं वैसे तो तीन होते हैं आप सभी जानते हो ओके लेकिन आधुनिक रूप में
गर संज्ञा के भेद की बात की जाए तो कितने हो जाते हैं पांच ो जाते ैं पांच हो जाते है,गर संज्ञा के भेद की बात की जाए तो कितने हो जाते हैं पांच ो जाते ैं पांच हो जाते है,गौर संज्ञा के भेद की बात की जाए तो कितने हो जाते हैं पांच हो जाते हैं पांच हो जाते हैं
हैं साथी इसमें कौन कौनसे हो जाते हैं एक्त हो जाता है आपका साथी,हैं साथी इसमें कौन कौनसे हो जाते हैं एक्त हो जाता है आपका साथी,हैं साथी इसमें कौन-कौनसे हो जाते हैं एक्त हो जाता है आपका साथी
तीसरा होता है भावाचक अगर हम बात करें चौथा कौनसा होता है तो द्रव्यवाचक हो जाता है और पांचवां कौंसा,तीसरा होता है भावाचक अगर हम बात करें चौथा कौनसा होता है तो द्रव्यवाचक हो जाता है और पांचवां कौंसा,तीसरा होता है भावाचक अगर हम बात करें चौथा कौनसा होता है तो द्रव्यवाचक हो जाता है और पांचवां कौसा
अगला कवश्शन साथी हूं जिसमें पूछा गया है अभिकारी और अभिकारी शब्दों के कितने भेद होते हैं व्यिकारी और अभिकारी शब्दों े,अगला कवश्शन साथी हूं जिसमें पूछा गया है अभिकारी और अभिकारी शब्दों के कितने भेद होते हैं व्यिकारी और अभिकारी शब्दों े,अगला कवश्शन साथी हूँ जिसमें पूछा गया है अभिकारी और अभिकारी शब्दों के कितने भेद होते हैं अभिकारी और अभिकारी शब्दों
नके साथियों आठ भेद होते हैं यानी ऑप्शन नंबर डी बिल्कुल करेक्ट हो जाएगा अगला क्वेश्शन जिसमें पूछा गया है,नके साथियों आठ भेद होते हैं यानी ऑप्शन नंबर डी बिल्कुल करेक्ट हो जाएगा अगला क्वेश्शन जिसमें पूछा गया है,न के साथियों आठ भेद होते हैं यानि ऑप्शन नंबर डी बिल्कुल करेक्ट हो जाएगा अगला क्वेश्शन जिसमें पूछा गया है
ि हमारा कोई संज्ञासे बना हुआ विशेषण नहीं है नमक भी हमारा संज्ञाे बना हुआ विशेषण नहीं है एक संज्ञा होती,ि हमारा कोई संज्ञासे बना हुआ विशेषण नहीं है नमक भी हमारा संज्ञाे बना हुआ विशेषण नहीं है एक संज्ञा होती,हमारा कोई संज्ञा से बना हुआ विशेषण नहीं है नमक भी हमारा संज्ञा बना हुआ विशेषण नहीं है एक संज्ञा होती
ह कुल उके कुल होती है साथियों कुल,ह कुल उके कुल होती है साथियों कुल,हाँ कुल उसके कुल होती है साथियों कुल
तो कुल से बना हुआ विशेषण क्या हो जाएगा कुलीन हो जाएगा तो इसका राइट आंसर ऑप्शन नंबर डी हो,तो कुल से बना हुआ विशेषण क्या हो जाएगा कुलीन हो जाएगा तो इसका राइट आंसर ऑप्शन नंबर डी हो,तो कुल से बना हुआ विशेषण क्या हो जाएगा कुलीन हो जाएगा तो इसका राइट आंसर ऑप्शन नंबर डी हो
जाएगा बहुत बढ़िया साथी,जाएगा बहुत बढ़िया साथी,जाएगा बहुत बढ़िया साथी
शै या फिर कर्मधारीय समाश है तो साथीु प्रत्येक हो प्रत्येक दिन ह प्रत्येक रात हो राथवनात इस प्रकार के सभी शब्दों,शै या फिर कर्मधारीय समाश है तो साथीु प्रत्येक हो प्रत्येक दिन ह प्रत्येक रात हो राथवनात इस प्रकार के सभी शब्दों,शै या फिर कर्मधारीय समाश है तो साथी प्रत्येक हो प्रत्येक दिन प्रत्येक रात हो राथवनात इस प्रकार के सभी शब्दों
में क्या होता है,में क्या होता है,में क्या होता है
ै ये किसी विशेष,ै ये किसी विशेष,ये किसी विशेष
विशेष चीज को यह विशष थिं्स को संबोधित कर रहा है तिरंगा बोले तो राष्ट्रीय ध्वच हो जाता है यानी,विशेष चीज को यह विशष थिं्स को संबोधित कर रहा है तिरंगा बोले तो राष्ट्रीय ध्वच हो जाता है यानी,विशेष चीज़ को यह विशिष्ट थिंट्स को संबोधित कर रहा है तिरंगा बोले तो राष्ट्रीय ध्वज हो जाता है यानि
गया है,गया है,गया है
जाना ीै तो कवित्री का जुक साथी यों जो,जाना ीै तो कवित्री का जुक साथी यों जो,जाना ही तो कवित्री का जुक साथी यों जो
कभी का जो स्त्रीलिंग हो जाता है वो कभि त्री हो जाता है ऑप्शन ये गलत होगा ऑप्शन बी भी,कभी का जो स्त्रीलिंग हो जाता है वो कभि त्री हो जाता है ऑप्शन ये गलत होगा ऑप्शन बी भी,कभी का जो स्त्रीलिंग हो जाता है वो कभी स्त्री हो जाता है ऑप्शन ये गलत होगा ऑप्शन बी भी
गलत होगा काबूप्लस यित्र हो जाएगा यानी ऑप्शन नंबर सी बिल्कुल करेक्ट आंसर हो जाएगा ठीकसाथी एकवर सभी साथी,गलत होगा काबूप्लस यित्र हो जाएगा यानी ऑप्शन नंबर सी बिल्कुल करेक्ट आंसर हो जाएगा ठीकसाथी एकवर सभी साथी,गलत होगा काबूप्लस यित्र हो जाएगा यानि ऑप्शन नंबर सी बिल्कुल करेक्ट आंसर हो जाएगा ठीक साथी एकवर सभी साथी
को क्या हो जाएगा सूर्या हो जाएगा ऑप्शन नंबर डी अगला कवोश्शन जिसमें पूछा गया है फल से पेड़ गिरा फलसे,को क्या हो जाएगा सूर्या हो जाएगा ऑप्शन नंबर डी अगला कवोश्शन जिसमें पूछा गया है फल से पेड़ गिरा फलसे,को क्या हो जाएगा सूर्या हो जाएगा ऑप्शन नंबर डी अगला कवोश्शन जिसमें पूछा गया है फल से पेड़ गिरा फल से
पर पीड़ गिरा शरीर,पर पीड़ गिरा शरीर,पर पीड़ गिरा शरीर
पेड़ से फलगिरा पेड़ से फलगिरा इस वाक्य में से जो है वो किस प्रकार की विभक्तकारक विभक्ति है,पेड़ से फलगिरा पेड़ से फलगिरा इस वाक्य में से जो है वो किस प्रकार की विभक्तकारक विभक्ति है,पेड़ से फलगिरा पेड़ से फलगिरा इस वाक्य में से जो है वो किस प्रकार की विभक्तकारक विभक्ति है
यह पूछा है किस प्रकार की कारक विभक्ति है देखो यहां से पेड़ से क्या हुआ फल गिरा तो अलगाव होने,यह पूछा है किस प्रकार की कारक विभक्ति है देखो यहां से पेड़ से क्या हुआ फल गिरा तो अलगाव होने,यह पूछा है किस प्रकार की कारक विभक्ति है देखो यहाँ से पेड़ से क्या हुआ फल गिरा तो अलगाव होने
का बहुध हुआ चीजों को मतलब पेड़ से जो फेड़ से फल है वो अलग होरा ए तो जहां पर,का बहुध हुआ चीजों को मतलब पेड़ से जो फेड़ से फल है वो अलग होरा ए तो जहां पर,काफ़ी हुआ चीज़ों को मतलब पेड़ से जो पेड़ से फल है वो अलग होरा है तो जहाँ पर
अलगाब से संबध होता है वहाँ पर कौनसा,अलगाब से संबध होता है वहाँ पर कौनसा,अलगाब से सम्बंध होता है वहाँ पर कौनसा
कारक विभक्ति चिनह्न होता है से होता है और कौनसा कारक हो जाता है साथियों वहां पर अपादानकारक हो जाता है,कारक विभक्ति चिनह्न होता है से होता है और कौनसा कारक हो जाता है साथियों वहां पर अपादानकारक हो जाता है,कारक विभक्ति चिन्ह होता है से होता है और कौनसा कारक हो जाता है साथियों वहाँ पर अपादान कारक हो जाता है
ै शी जो है,ै शी जो है,हाँ जी जो है
तो उसका करेक्ट आंसर क्या हो जाएगा साथी हो ऑप्शन नंबर,तो उसका करेक्ट आंसर क्या हो जाएगा साथी हो ऑप्शन नंबर,तो उसका करेक्ट आंसर क्या हो जाएगा साथी हो ऑप्शन नंबर
किस कारक की विभक्ति है को किस कारक की विभयक्ति हो जाएगी संप्रदान हो जाएगा यह फिर कर्म हो जाएगा,किस कारक की विभक्ति है को किस कारक की विभयक्ति हो जाएगी संप्रदान हो जाएगा यह फिर कर्म हो जाएगा,किस कारक की विभयक्ति है को किस कारक की विभयक्ति हो जाएगी संप्रदान हो जाएगा यह फिर कर्म हो जाएगा
ह अध्यापक शब्द का स्त्रीलिंग रूप क्या है,ह अध्यापक शब्द का स्त्रीलिंग रूप क्या है,अध्यापक शब्द का स्त्रीलिंग रूप क्या है
शाथिर क्या हो जाएगा ऑप्शन नंबर े हो जाएगा अध्यापिका होता है अध्यापक शब्द का स्त्रीलिंग,शाथिर क्या हो जाएगा ऑप्शन नंबर े हो जाएगा अध्यापिका होता है अध्यापक शब्द का स्त्रीलिंग,शाथिर क्या हो जाएगा ऑप्शन नंबर हो जाएगा अध्यापिका होता है अध्यापक शब्द का स्त्रीलिंग
अगला क्वेश्शन जिसमें पूछा गया है नायक शब्द का स्त्रीलिंग रूप क्या है नायक शब्द का स्त्रीलिंग नायकी हो जाएगा,अगला क्वेश्शन जिसमें पूछा गया है नायक शब्द का स्त्रीलिंग रूप क्या है नायक शब्द का स्त्रीलिंग नायकी हो जाएगा,अगला क्वेश्शन जिसमें पूछा गया है नायक शब्द का स्त्रीलिंग रूप क्या है नायक शब्द का स्त्रीलिंग नायकी हो जाएगा
यह नायिका हो जाएगा कौनसा होगा इसका जो राइट आंसर है वो ऑप्शन नंबर सी हो जाएगा नायिका नायिका बिल्कुल,यह नायिका हो जाएगा कौनसा होगा इसका जो राइट आंसर है वो ऑप्शन नंबर सी हो जाएगा नायिका नायिका बिल्कुल,यह नायिका हो जाएगा कौनसा होगा इसका जो राइट आंसर है वो ऑप्शन नंबर सी हो जाएगा नायिका नायिका बिल्कुल
करेक्टांसर है साथी क्लास में यहां तक बने हुए हो तो अंत तक देखना क्लास को,करेक्टांसर है साथी क्लास में यहां तक बने हुए हो तो अंत तक देखना क्लास को,करेक्टांसर है साथी क्लास में यहाँ तक बने हुए हो तो अंत तक देखना क्लास को
शब्द का साथी हू यहां पर महािनी हो जाएगा या महाशी हो जाएगा या महाशया हो जाएगा या महाशी हो जाएगा,शब्द का साथी हू यहां पर महािनी हो जाएगा या महाशी हो जाएगा या महाशया हो जाएगा या महाशी हो जाएगा,शब्द का साथी हूँ यहाँ पर महािनी हो जाएगा या महाशी हो जाएगा या महाशया हो जाएगा या महाशी हो जाएगा
तो इसका करेक्ट ांसर ऑप्शन नंबर क्या हो जाएगा सी हो जाएगा महशय शब्द का जो स्त्रीलिंग रूप है वो,तो इसका करेक्ट ांसर ऑप्शन नंबर क्या हो जाएगा सी हो जाएगा महशय शब्द का जो स्त्रीलिंग रूप है वो,तो इसका करेक्ट इंटर ऑप्शन नंबर क्या हो जाएगा सी हो जाएगा महशय शब्द का जो स्त्रीलिंग रूप है वो
अगला कवोश्शन जिसमें पूछा गया है नीता शब्द का स्त्रीलिंग रूप क्या है नीता शब्द का साथी हुए स्त्रीलिंग,अगला कवोश्शन जिसमें पूछा गया है नीता शब्द का स्त्रीलिंग रूप क्या है नीता शब्द का साथी हुए स्त्रीलिंग,अगला कवोश्शन जिसमें पूछा गया है नीता शब्द का स्त्रीलिंग रूप क्या है नीता शब्द का साथी हुए स्त्रीलिंग
शब्द का स्त्रीलिंग नेत्री हो जाता है यानी ऑप्शन नंबर,शब्द का स्त्रीलिंग नेत्री हो जाता है यानी ऑप्शन नंबर,शब्द का स्त्रीलिंग नेत्री हो जाता है यानी ऑप्शन नंबर
ए ए बिल्कुल करेक्ट आंसर है अगला क्वेश्शन जिसमें पूछा गया है,ए ए बिल्कुल करेक्ट आंसर है अगला क्वेश्शन जिसमें पूछा गया है,ए ए बिल्कुल करेक्ट आंसर है अगला क्वेश्शन जिसमें पूछा गया है
शब्द का स्त्रीलिंग रुप तो यहां पर इनद्राहै इंद्राणी है या इंद्रनी है या फिर इनद्रानी है कौनसा हो जाएगा,शब्द का स्त्रीलिंग रुप तो यहां पर इनद्राहै इंद्राणी है या इंद्रनी है या फिर इनद्रानी है कौनसा हो जाएगा,शब्द का स्त्रीलिंग रुप तो यहाँ पर इंद्रा है इंद्राणी है या इंद्रानी है या फिर इंद्रानी है कौनसा हो जाएगा
ा तो इसका करेक्ट आंसर ऑप्शन नंबर सी हो जाएगा इंद्रानइंद्रानी इंद्र शब्द का,ा तो इसका करेक्ट आंसर ऑप्शन नंबर सी हो जाएगा इंद्रानइंद्रानी इंद्र शब्द का,तो इसका करेक्ट आंसर ऑप्शन नंबर सी हो जाएगा इंद्रानी इंद्रानी इंद्र शब्द का
स्त्रिलिंग रूप हो जाता है अगला कवश्शन जिसमें पूछा गया है,स्त्रिलिंग रूप हो जाता है अगला कवश्शन जिसमें पूछा गया है,स्त्रिलिंग रूप हो जाता है अगला कवश्शन जिसमें पूछा गया है
अड़ा जवआड़ा खाली होता है अड़ाखाली शब्द का जो उच्चारण स्थान है वो क्या होता है ये पूछा है दंत होता है दतालु,अड़ा जवआड़ा खाली होता है अड़ाखाली शब्द का जो उच्चारण स्थान है वो क्या होता है ये पूछा है दंत होता है दतालु,अड़ा जवआड़ा खाली होता है अड़ाखाली शब्द का जो उच्चारण स्थान है वो क्या होता है ये पूछा है दंत होता है दतालु
होता है या फिर तालू होता है या फर मगमूरथा होता है तो इसका करेक्ट ांसर ऑप्शन नंबर सी हो,होता है या फिर तालू होता है या फर मगमूरथा होता है तो इसका करेक्ट ांसर ऑप्शन नंबर सी हो,होता है या फिर तालू होता है या फिर मगमूरथा होता है तो इसका करेक्ट इंटर ऑप्शन नंबर सी हो
